ID,Reported_On,Additional_Reporting,Retrieve_from_1,Retrieve_from_2,Retrieve_from_3,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Title,Publication_Date,Entry_Date,Primary_Country,Secondary_Country,Primary_Language,Secondary_Language,Main_Narrative,Recoded_Main_Narrative,Recoded_Narrative_Coder,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Description,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder,Notes
67,https://colombiacheck.com/chequeos/coronavirus-no-ha-llegado-guaviare-ni-hay-un-avion-en-cuarentena,,https://colombiacheck.com/chequeos/coronavirus-no-ha-llegado-guaviare-ni-hay-un-avion-en-cuarentena,,,0,,,,,Audio sobre avión en cuarentena por COVID-19 en Guaviare es falso,12-Feb-20,19-Jun-20,Colombia,,Spanish,,COVID-19 status of individuals,,,A plane was quarantined in an airport of the Colombian district of Guaviare,1,Fear,Spread fear of contagion in the region,Individual actor,General public,WhatsApp,False reporting,"Coronavirus, plane, quarantine, Guaviare, Colombia, captain, Andrés Vargas",A fake audio circulated in Colombia claiming that an entire plane landed in the department of Guaviare had been quarantined due to coroanvirus cases on board.,Nicola,-
68,https://maldita.es/malditobulo/2020/02/13/24-000-muertos-coronavirus-china-censura-tencent/,,https://web.archive.org/web/20200211114551/https://www.viralistas.com/un-portal-de-noticias-chino-filtra-que-hay-mas-de-24-mil-muertos-por-coronavirus-ante-la-censura/,https://web.archive.org/web/20200205233847/https://www.dailymail.co.uk/news/article-7971401/Have-real-coronavirus-death-figures-leaked-Chinese-conglomerate-lists-death-toll-24-589.html,https://web.archive.org/save/https://www.indiatvnews.com/news/world/coronavirus-death-toll-list-leak-tencent-25000-died-lakh-infected-novel-coronavirus-china-586383,0,,,,,"No, un portal de noticias chino no ha filtrado que hay más de 24.000 muertos por coronavirus",13-Feb-20,19-Jun-20,Spain,"India, Taiwan",Spanish,English,Other,,,"Chinese government is underreporting case count, Tencent revealed",0,Undermine target country institutions ,"DIscredit China, mistake",Media,"Website Viralistas, online newspapers Daily Mail, India TV News, Taiwan News",Website,Conspiracy,"Coronavirus, China, Chinese, government, underreport, cases, 24,000, Tencent","Fake claim circulated (also, mistakenly, thanks to online media outlets) about Chinese company Tencent having revealed that coronavirus deaths in China totalled 24,000 as of February 1, 2020, contrary to lower official figures.",Nicola,-
69,https://boliviaverifica.bo/atencion-el-eucalipto-no-cura-el-coronavirus/,,https://chequeado.com/latamcoronavirus/,,,0,https://www.facebook.com/watch/?v=208359950494058,,,,¡Atención¡ El Eucalipto no cura el coronavirus,1-Apr-20,20-Jun-20,"Bolivia, Plurinational State of","Dominican Republic, Ecuador, México, Spain, Costa Rica",Spanish,,False cures and preventative measures,,,Eucalyptus can cure / is beneficial in fighting against COVID-19,0,False Hope,False remedy,Individual actor,"Video by Dr. Ruth Mari Calderón, Facebook page “Noticia pal mundo NF”",Facebook,Fake remedy,"Coronavirus, Eucalyptus, healing properties","A video circulated on Facebook, spreading false info. that eucalyptus is beneficial in fighting COVID-19, and stating that this info. is backed by ""studies on the benefits of eucalyptus"" carried out in (unnamed) ""prestigious unviersities"" in NY.",Gabriella,-
70,https://boliviaverifica.bo/ministro-cardenas-no-dijo-que-estudiantes-repetiran-el-ano/,,https://chequeado.com/latamcoronavirus/,,,0,http://archive.li/hX1cH,,,,Ministro Cárdenas no dijo que estudiantes repetirán el año,1-Apr-20,20-Jun-20,"Bolivia, Plurinational State of",,Spanish,,Emergency responses,,,"Minister of Education, Víctor Hugo Cárdenas, claimed school children will repeat the year if the COVID-19 quarantine is extended",0,Fear,Effort to spread panic over consequences of COVID-19 on schooling,Individual actor,General public,Facebook,False reporting,"Coronavirus, Repeat year, school, students, quarantine, UNITEL",Photoshopped images of a UNITEL network interview circulated the internet. Spread false information that Bolivia's Minister of Education said students will repeat the school year if quarantine is extended due to COVID-19.,Gabriella,-
71,https://maldita.es/malditobulo/2020/04/01/coronavirus-partido-comunista-chino-laboratorio-vih-tuberculosis/,,https://chequeado.com/latamcoronavirus//,,,0,,,,,"Cuidado con la cadena que afirma sin pruebas que el coronavirus ""fue liberado por el Partido Comunista Chino"" y que es una mezcla de VIH y tuberculosis
",1-Apr-20,22-Jun-20,Spain,"Venezuela, México, Colombia",Spanish,,Nature of the virus,,,"Chain message spreading false info. about the origins of covid-19, the composition of the virus, and its characteristics",1,Fear,"Effort to paint Chinese Communist Party in negative light and push incorrect narratives about covid-19 incubation period, survival, origins, and spread",Individual actor,General public,Whatsapp,False reporting,"Coronavirus, biological weapon, incubation, survival, infection","Chain mesage spread a number of false claims. Included: (1) that covid-19 was created by the Chinese Communist Party to lower the population, (2) the virus is a mixture of HIV and tuberculosis, (3) it has an incubation period of 27, instead of 2-14, days, (4) that it survives up to 9 days on surfaces, (5) that it infects seven people on average, and (6) that it is at a ""dangerousness level 5"" on a scale of 1 to 5, even though there are only 4 levels of biosecurity or biological containment (NCB).",Gabriella,-
72,https://maldita.es/malditobulo/2020/02/13/bulo-personas-asiaticas-no-estan-cortando-un-bebe-comer-coronavirus-asia-canibalismo-china/,,https://maldita.es/malditobulo/2020/02/13/bulo-personas-asiaticas-no-estan-cortando-un-bebe-comer-coronavirus-asia-canibalismo-china/,,,0,,,,,"No, estas personas asiáticas no están cortando un bebé para comérselo: fotos que se están relacionando con la comunidad china y el brote del nuevo coronavirus",13-Feb-20,23-Jun-20,Spain,,Spanish,,Other,,,Image of Chinese people eating a baby,0,Politics,Feed hatred against the Chinese,Individual actor,Gemeral public,Instagram,False reporting,"Coronavirus, China, Chinese, eat, baby, die","A picture (really taken from a different context) circulated alongside the claim it showed Chinese people eating a baby, wishing them to die of coronavirus.",Nicola,-
73,https://efectococuyo.com/cocuyo-chequea/medicamento-cubano-coronavirus/,,,,,1,http://www.granma.cu/mundo/2020-02-07/interferon-alfa-2b-el-medicamento-cubano-usado-en-china-contra-el-coronavirus-06-02-2020-10-02-56,https://twitter.com/puchero344/status/1226240601890394113,,,"Uno de los medicamentos para tratar el coronavirus sí es cubano, pero no ha curado 1.500 personas #Datoscoronavirus",13-Feb-20,23-Jun-20,Cuba,,Spanish,,False cures and preventative measures,,,"Cuban treatment cured 1,500 people in China",0,Politics,Extol Cuba,Political actor,"Diario Granma (official organ of the Central Committee of the Cuban Communist Party), ","Website, Twitter",False reporting,"Coronavirus, Cuba, China, treatment, Interferón alfa 2B, cure, 1500, Diario Granma","An official outlet of the Cuban Communist Party circulated a story about a Cuban-made treatment (Interferón alfa 2B) having saved 1,500 people from coronavirus in China.",Nicola,-
74,https://colombiacheck.com/chequeos/en-ibague-no-hay-casos-de-covid-19-la-enfermedad-producida-por-coronavirus-de-wuhan,,,,,0,,,,,El video falso sobre coronavirus (Covid-19) en Ibagué,15-Feb-20,23-Jun-20,Colombia,,Spanish,,COVID-19 status of individuals,,,"Case detected in Ibagué, Colombia",0,Fear,Spread fear of contagion in Colombia,Individual actor,Unknown YouTube channel,YouTube,False reporting,"Coronavirus, case, first, Ibagué, Colombia","Two YouTube videos from the same channel circulated in Colombia arguing that a case of COVID-19 had been detected in Ibagué, Colombia as of February 14, 2020.",Nicola,-
75,https://colombiacheck.com/chequeos/pangolin-si-podria-ser-transmisor-de-coronavirus-pero-falta-evidencia,,,,,0,https://hipertextual.com/2020/02/coronavirus-pangolin,,,,El error que apuntó al pangolín como posible transmisor de coronavirus,19-Feb-20,23-Jun-20,Colombia,,Spanish,,Origin of the virus,,,The pangolin can transmit the virus,0,Other,Mistake,Media,Website Hipertextual,"Website, Facebook",False reporting,"Coronavirus, Pangolin, transmit, virus, Chinese, scientists, Nature",Claim circulated that the pangolin can transmit the virus. The circulation of the inaccurate piece of info was due to the poor communication of the results of a study conducted by some Chinese scientists.,Nicola,-
76,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,1,https://twitter.com/ECUADORCHEQUEA/status/1242145543641534471, ,,,Video muestra comercios abiertos en un Centro Comercial de Quito en plena emergencia sanitaria,23-Mar-20,23-Jun-20,Ecuador,,Spanish,,Emergency responses,,,Trying to spread rumor that shopping centers in the city Quito were still open during the pandemic,0,Fear,Spread fear,Individual actor,General public,Twitter,False reporting,"Coronavirus, Centro Comercial, Quito, emergencia, abiertos",Old video used to convince people stores were remaining open.,Jacob,-
