ID,Reported_On,Retrieved_from_1,Additional_Reporting,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Direct_Post_5,Direct_Post_6,Direct_Post_7,Direct_Post_8,Direct_Post_9,Direct_Post_10,Direct_Post_11,Direct_Post_12,Direct_Post_13,Direct_Post_14,Direct_Post_15,Direct_Post_16,Title,Publication_Date,Entry_Date,Country,Primary_Language,Secondary_Language,Main_Narrative,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Descripion,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder,Notes
AFP-I21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP-I36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
